Cidade;UF;Sigla;Latitude aprox.;Longitude aprox.;Inclina‡Æo;Dip. Lat.;Posi‡Æo;;;;Coeficientes;;;Legendas;;
Salvador - INCRA;BA;SAVO;-12§ 56';-38§ 26';-30,856;-16,632;BL;;;;;;;;;
Santa Maria;RS;SMAR;-29§ 43';-53§ 43';-37,535;-21,014;ML;;;;;;;;;
Santana - Docas;AP;APS1;-00ø 04';-51ø 10';4,448;2,227;EQ;;;;;;;;;
Santar‚m - INCRA;PA;PASM;-02ø 26';-54ø 44';3,876;1,940;EQ;;;;;;;;;
SÆo Carlos;SP;EESC;-22§ 0';-47§ 54';-33,568;-18,356;BL;;;;;;;;;
SÆo F‚lix do Araguaia;MT;MTSF;-11§ 37';-50§ 40';-16,3;-8,318;BL;;;;;;;;;
SÆo Gabriel da Cachoeira;AM;SAGA;-0§ 09';-67§ 3';17,504;8,961;BL;;;;;;;;;
SÆo Jos‚ do Rio Preto;SP;SJRP;-20§ 47';-49§ 22';-30,832;-16,617;BL;;;;;;;;;
SÆo Jos‚ dos Campos;SP;SJSP;-23§ 12';-45§ 52';-36,615;-20,382;ML;;;;;;;;;
SÆo Lu¡s;MA;SALU;-2§ 36';-44§ 13';-7,816;-3,926;EQ;;;;;;;;;
SÆo Paulo;SP;POLI;-23§ 33';-46§ 44';-36,282;-20,155;ML;;;;;;;;;
SÆo Raimundo Nonato;PI;PISR;-9§ 02';-42§ 42';-20,633;-10,662;BL;;;;;;;;;
Sobral;CE;CESB;-03§ 41';-40§ 20';-14,063;-7,139;BL;;;;;;;;;
Sorocaba - UNESP;SP;SPS1;-23ø 29';-47ø 25';-35,65;-19,729;BL;;;;;;;;;
Sorriso;MT;MTSR;-12§ 33';-55§ 44';-12,822;-6,492;BL;;;;;;;;;
Tabatinga;AM;AMTA;-04ø 13';-69ø 56';11,921;6,026;BL;;;;;;;;;
Tef‚;AM;AMTE;-03§ 21';-64§ 42';10,619;5,355;BL;;;;;;;;;
Teixeira de Freitas;BA;BATF;-17§ 33';-39§ 45';-35,552;-19,663;BL;;;;;;;;;
Teresina;PI;PITN;-05§ 06';-42§ 48';-13,88;-7,043;BL;;;;;;;;;
TupÆ;SP;SPTU;-21§ 56';-50§ 30';-31,29;-16,903;BL;;;;;;;;;
Ubatuba (Mar‚grafo);SP;UBA1;-23§ 30';-45§ 7';-37,547;-21,023;ML;;;;;;;;;
Uberlƒndia - UFU;MG;MGUB;-18§ 55';-48§ 15';-29,443;-15,761;BL;;;;;;;;;
Uberlƒndia - Rede CEMIG;MG;UBE1;-18§ 53';-48§ 19';-29,337;-15,696;BL;;;;;;;;;
Urua‡u;GO;GOUR;-14ø 31';-49ø 09';-22,391;-11,640;BL;;;;;;;;;
Varginha - Rede CEMIG;MG;MGV1;-21§ 33';-45§ 26';-35,16;-19,402;BL;;;;;;;;;
Vi‡osa;MG;VICO;-20§ 46';-42§ 52';-36,493;-20,299;ML;;;;;;;;;
Vit¢ria;ES;CEFE;-20§ 19';-40§ 19';-38,187;-21,469;ML;;;;;;;;;
Vit¢ria da Conquista;BA;BAVC;-14§ 53';-40§ 48';-31,216;-16,857;BL;;;;;;;;;
Barra do Gar‡as;MT;MTBA;-15§ 53';-52§ 15';-21,421;-11,098;BL;;;;;;;;;
Bom Jesus da Lapa;BA;BOMJ;-13§ 15';-43§ 25';-26,349;-13,909;BL;;;;;;;;;
Campinas;SP;SPCA;-22§ 48';-47§ 3';-35,197;-19,426;BL;;;;;;;;;
Corumb ;MS;MSCO;-19§ 00';-57§ 38';-21,415;-11,095;BL;;;;;;;;;
Curitiba;PR;PARA;-25§ 26';-49§ 13';-36,322;-20,183;ML;;;;;;;;;
Dourados;MS;MSDO;-22§ 13';-54§ 48';-28,159;-14,983;BL;;;;;;;;;
Fortaleza;CE;FORT;-3§ 52';-38§ 25';-16,434;-8,390;BL;;;;;;;;;
Gov. Valadares;MG;GVAL;-18§ 51';-41§ 57';-35,11;-19,368;BL;;;;;;;;;
Humait ;AM;AMHU;-7§ 30';-63§ 02';2,128;1,064;EQ;;;;;;;;;
Ju¡na;MT;MTJU;-11§ 25';-58§ 46';-8,171;-4,106;EQ;;;;;;;;;
Manaus;AM;MANA;-3§ 6';-60§ 3';7,589;3,811;EQ;;;;;;;;;
Montes Claros - CEMIG;MG;MCLA;-16§ 43';-43§ 53';-30,671;-16,517;BL;;;;;;;;;
Ourinhos;SP;OURI;-22§ 57';-49§ 54';-33,011;-17,996;BL;;;;;;;;;
Presidente Prudente;SP;UEPP;-22§ 7';-51§ 24';-30,768;-16,577;BL;;;;;;;;;
Salvador;BA;SALV;-13§ 0';-38§ 30';-30,884;-16,650;BL;;;;;;;;;
Santana;AP;APSA;-0§ 3';-51§ 10';4,479;2,243;EQ;;;;;;;;;
Santar‚m;PA;PAST;-2§ 30';-54§ 43';3,741;1,872;EQ;;;;;;;;;
Sorocaba;SP;SPSO;-23§ 29';-47§ 25';-35,65;-19,729;BL;;;;;;;;;
Ubatuba;SP;UBAT;-23§ 30';-45§ 7';-37,547;-21,023;ML;;;;;;;;;
Uberlƒndia - CEMIG;MG;UBER;-18§ 53';-48§ 19';-29,337;-15,696;BL;;;;;;;;;
Varginha;MG;VARG;-21§ 32';-45§ 26';-35,14;-19,388;BL;;;;;;;;;
Varginha - CEMIG;MG;MGVA;-21§ 33';-45§ 26';-35,16;-19,402;BL;;;;;;;;;
Vila Bela da Sant¡ssima Trindade;MT;MTVB;-15§ 00';-59§ 57';-13,268;-6,724;BL;;;;;;;;;
