ARBAMINCHUNIV	UN	ARMI	6 4	37 34	
ArmorelHS_AR2018	UN	ARML	35 55	-89 48	
ARMY	UN	ARMY	38 30	-118 26	
ArgonneNorth	UN	ARNG	43 40	-112 37	
ArenalObservatoryLodge	UN	AROL	10 26	-84 43	
ArushaMinistryofEnergyandMinerals	UN	ARSH	-3 23	36 42	
ARTE	UN	ARTE	38 60	-119 25	
Arti	UN	ARTU	56 26	58 34	
Aruch-Yerevan	UN	ARUC	40 17	44 5	
Arrival_Heights_	UN	ARVL	-77 50	166 40	
ASAB	UN	ASAB	13 4	42 39	
AstronautButte	UN	ASBU	43 49	-121 22	
AscensionIsland	UN	ASC1	-7 57	-14 25	
Ascension	UN	ASCG	-7 55	-14 20	
AntisanaSurpermanentstation-AntisanaVolcano	UN	ASEC	0 30	-78 10	
AshMeadows	UN	ASHM	36 21	-116 8	
Asheville	UN	ASHV	35 36	-82 33	
AstrupKystland	UN	ASKY	75 44	-58 15	
ASMA	UN	ASMA	15 20	38 55	
Assosa	UN	ASOS	10 3	34 33	
AmericanSamoaPowerAuthority	UN	ASPA	-14 20	-170 43	
Austin1	UN	AST1	39 23	-117 19	
Asumbi	UN	ASUM	0 37	34 37	
StMichael_AK2018	UN	AT01	63 29	-162 0	
ReservaPuntaAtico	UN	ATIC	-16 14	-73 42	
Atajana	UN	ATJN	-19 18	-70 8	
Atqasuk	UN	ATQK	70 28	-157 24	
AT&T	UN	ATTC	63 30	-145 51	
ATW2_AKDA_AK2000	UN	ATW2	61 36	-149 8	
TsunamiWarningCenter	UN	ATWC	61 36	-149 8	
AUBR	UN	AUBR	35 56	-112 58	
WhangaparaoaNo.3	UN	AUCK	-36 36	174 50	
AugustineVolcanoLowerMound	UN	AUGL	59 22	-153 21	
AultElementarySchool	UN	AULT	29 60	-95 45	
AustinRRP	UN	AUS5	30 19	-97 45	
AV01AUGST_AK2004	UN	AV01	59 22	-153 28	
AV02AUGST_AK2004	UN	AV02	59 20	-153 26	
AV03AUGST_AK2004	UN	AV03	59 23	-153 26	
AV04AUGST_AK2004	UN	AV04	59 22	-153 27	
AV05AUGST_AK2004	UN	AV05	59 22	-153 25	
AKU_AkutPtAK2005	UN	AV06	54 9	-165 46	
AKU_NWSlopAK2005	UN	AV07	54 10	-166 2	
AKU_WSlopeAK2005	UN	AV08	54 8	-166 2	
Haystack__AK2004	UN	AV09	53 53	-166 33	
AKU_SESlopAK2005	UN	AV10	54 6	-165 56	
Augs_MoundAK2006	UN	AV11	59 22	-153 21	
AKU_OpenBtAK2005	UN	AV12	54 13	-165 54	
AKUFumarolAK2005	UN	AV13	54 9	-165 54	
AKU_HarborAK2005	UN	AV14	54 7	-165 50	
AKU_EastPtAK2005	UN	AV15	54 6	-165 43	
AugvLagoonAK2006	UN	AV16	59 23	-153 32	
AugustinNWAK2006	UN	AV17	59 24	-153 27	
AugvNorth_AK2006	UN	AV18	59 23	-153 26	
AugustinSEAK2006	UN	AV19	59 21	-153 25	
Augs_SouthAK2006	UN	AV20	59 21	-153 26	
WestdahlNWAK2008	UN	AV24	54 35	-164 45	
WestdahlW_AK2008	UN	AV25	54 32	-164 47	
WestdahlNEAK2008	UN	AV26	54 34	-164 35	
WestdahlSWAK2008	UN	AV27	54 30	-164 43	
WestdahlSEAK2008	UN	AV29	54 28	-164 35	
IsanotskiSAK2008	UN	AV34	54 43	-163 43	
TugamakRngAK2008	UN	AV35	54 51	-164 23	
